Event_key,Name,Disaster_group,Disaster_subgroup,Disaster_type,Start_date,End_date,Start_month,End_month,Total_deaths,Num_injured
1000,,Natural,Geophysical,Earthquake,28.0,28.0,3,3,915.0,1146.0
1001,,Natural,Meteorological,Storm,20.0,23.0,3,3,79.0,1500.0
1002,,Technological,Technological,Transport accident,19.0,19.0,2,2,149.0,0
1003,"Inter city express train ""Meghna""",Technological,Technological,Transport accident,16.0,16.0,1,1,0,200.0
1004,Garment Factory,Technological,Technological,Industrial accident,6.0,6.0,1,1,22.0,50.0
1005,,Natural,Geophysical,Earthquake,23.0,23.0,1,1,1.0,4.0
1006,,Natural,Hydrological,Landslide,21.0,21.0,2,2,143.0,0
1007,Casa 212,Technological,Technological,Transport accident,22.0,22.0,3,3,15.0,3.0
1008,,Technological,Technological,Transport accident,13.0,13.0,3,3,33.0,0
1009,,Natural,Hydrological,Flood,17.0,23.0,2,2,9.0,0
1010,,Natural,Hydrological,Flood,7.0,11.0,1,1,28.0,8.0
1011,,Natural,Meteorological,Storm,22.0,24.0,1,1,20.0,0
1012,,Technological,Technological,Transport accident,7.0,7.0,1,1,9.0,200.0
1013,,Technological,Technological,Transport accident,5.0,5.0,1,1,12.0,13.0
1014,Roke (Auring/02W),Natural,Meteorological,Storm,15.0,17.0,3,3,18.0,0
1015,,Technological,Technological,Transport accident,13.0,14.0,1,1,14.0,28.0
1016,,Technological,Technological,Transport accident,26.0,26.0,1,1,11.0,180.0
1017,Raffinerie BP,Technological,Technological,Industrial accident,23.0,23.0,3,3,15.0,170.0
1018,,Natural,Hydrological,Flood,26.0,27.0,4,4,47.0,18.0
1019,,Natural,Hydrological,Flood,18.0,19.0,10,10,28.0,211.0
1020,,Natural,Hydrological,Flood,25.0,28.0,5,5,13.0,0
1021,,Natural,Hydrological,Flood,3.0,20.0,10,10,19.0,0
1022,,Natural,Hydrological,Flood,7.0,27.0,7,7,23.0,0
1023,,Natural,Meteorological,Storm,31.0,31.0,3,3,24.0,500.0
1024,"Ferry ""Prince of Patuakhali""",Technological,Technological,Transport accident,15.0,15.0,5,5,40.0,0
1025,Ferry,Technological,Technological,Transport accident,17.0,17.0,5,5,115.0,0
1026,,Technological,Technological,Transport accident,9.0,9.0,4,4,56.0,0
1027,,Technological,Technological,Transport accident,19.0,19.0,5,5,30.0,0
1028,,Technological,Technological,Transport accident,2.0,3.0,8,8,75.0,0
1029,,Technological,Technological,Transport accident,5.0,5.0,8,8,27.0,0
1030,Garments factory,Technological,Technological,Industrial accident,11.0,11.0,4,4,151.0,0
1031,,Natural,Meteorological,Storm,21.0,22.0,5,5,10.0,6.0
1032,,Natural,Meteorological,Storm,14.0,14.0,5,5,2.0,100.0
1033,,Natural,Meteorological,Storm,6.0,6.0,5,5,11.0,0
1034,,Natural,Meteorological,Storm,30.0,30.0,6,6,35.0,0
1035,,Natural,Meteorological,Storm,20.0,20.0,9,9,16.0,0
1036,,Natural,Hydrological,Flood,27.0,29.0,9,9,0,0
1037,,Natural,Hydrological,Flood,7.0,1.0,6,7,4.0,0
1038,,Natural,Climatological,Wildfire,1,28,7,7,0,0
1039,,Natural,Climatological,Wildfire,1,28,8,8,0,0
1040,Food poisoning,Technological,Technological,Miscellaneous accident,30.0,1.0,11,12,0,506.0
1041,Poisoning,Technological,Technological,Miscellaneous accident,8.0,8.0,5,5,0,155.0
1042,,Natural,Meteorological,Storm,26.0,29.0,9,9,0,0
1043,Cholera,Natural,Biological,Epidemic,11.0,30.0,4,10,72.0,0
1044,,Technological,Technological,Transport accident,2.0,2.0,9,9,10.0,15.0
1045,Mt. Talang,Natural,Geophysical,Volcanic activity,12.0,12.0,4,4,0,0
1046,,Natural,Hydrological,Landslide,2.0,2.0,9,9,25.0,10.0
1047,,Natural,Climatological,Wildfire,9.0,9.0,8,8,0,0
1048,Boeing 737-200,Technological,Technological,Transport accident,5.0,5.0,9,9,150.0,0
1049,"Ferry ""Digul""",Technological,Technological,Transport accident,7.0,7.0,7,7,200.0,0
1050,,Technological,Technological,Transport accident,24.0,24.0,9,9,18.0,0
1051,,Technological,Technological,Transport accident,30.0,30.0,6,6,2.0,125.0
1052,,Natural,Geophysical,Earthquake,17.0,17.0,12,12,8.0,200.0
1053,,Natural,Hydrological,Flood,13.0,23.0,2,2,39.0,39.0
1054,,Natural,Hydrological,Flood,19.0,23.0,6,6,236.0,56.0
1055,,Natural,Hydrological,Flood,25.0,29.0,6,6,52.0,0
1056,,Natural,Hydrological,Flood,26.0,14.0,1,2,19.0,0
1057,,Natural,Hydrological,Flood,19.0,23.0,4,4,22.0,2.0
1058,,Natural,Hydrological,Flood,24.0,26.0,6,6,41.0,0
1059,,Natural,Geophysical,Earthquake,14.0,14.0,3,3,3.0,2.0
1060,,Natural,Hydrological,Flood,22.0,31.0,4,5,0,0
1061,,Natural,Meteorological,Storm,22.0,24.0,4,4,4.0,150.0
1062,,Natural,Meteorological,Storm,18.0,5.0,9,10,115.0,0
1063,,Natural,Meteorological,Storm,8.0,8.0,4,4,22.0,500.0
1064,,Natural,Meteorological,Storm,4.0,4.0,3,3,4.0,549.0
1065,,Natural,Hydrological,Flood,31.0,24.0,5,7,0,0
1066,,Natural,Hydrological,Flood,24.0,20.0,8,9,0,0
1067,,Natural,Meteorological,Storm,5.0,6.0,4,4,9.0,65.0
1068,,Technological,Technological,Transport accident,13.0,13.0,1,1,18.0,6.0
1069,,Technological,Technological,Transport accident,2.0,2.0,2,2,13.0,17.0
1070,,Technological,Technological,Transport accident,21.0,21.0,4,4,35.0,0
1071,,Technological,Technological,Transport accident,11.0,11.0,7,7,32.0,30.0
1072,Ferry,Technological,Technological,Transport accident,23.0,23.0,10,10,60.0,0
1073,Textil factory,Technological,Technological,Industrial accident,23.0,23.0,2,2,52.0,100.0
1074,Buidling,Technological,Technological,Miscellaneous accident,25.0,25.0,2,2,20.0,47.0
1075,Slum area,Technological,Technological,Miscellaneous accident,1.0,1.0,2,2,0,28.0
1076,,Natural,Hydrological,Flood,18.0,24.0,4,4,0,0
1077,,Natural,Hydrological,Flood,12.0,20.0,4,4,0,0
1078,,Natural,Hydrological,Flood,26.0,2.0,5,6,0,0
1079,,Natural,Hydrological,Flood,20.0,28.0,5,5,1.0,0
1080,,Natural,Hydrological,Flood,31.0,1.0,8,9,0,0
1081,Meningococcal Disease,Natural,Biological,Epidemic,1.0,31.0,1,3,18.0,0
1082,Cholera,Natural,Biological,Epidemic,1,22.0,1,10,111.0,0
1083,,Technological,Technological,Transport accident,4.0,4.0,1,1,19.0,30.0
1084,,Technological,Technological,Transport accident,25.0,25.0,5,5,11.0,10.0
1085,,Technological,Technological,Transport accident,23.0,23.0,12,12,13.0,10.0
1086,,Natural,Geophysical,Earthquake,26.0,26.0,5,5,5778.0,137883.0
1087,,Natural,Geophysical,Earthquake,1.0,1.0,12,12,1.0,14.0
1088,,Natural,Geophysical,Earthquake,17.0,17.0,7,7,802.0,543.0
1089,Mt. Merapi,Natural,Geophysical,Volcanic activity,18.0,15.0,4,5,0,0
1090,,Natural,Hydrological,Flood,23.0,27.0,6,6,0,0
1091,,Natural,Hydrological,Landslide,1.0,4.0,1,1,156.0,13.0
1092,,Natural,Hydrological,Landslide,22.0,27.0,1,1,11.0,0
1093,,Natural,Hydrological,Landslide,15.0,15.0,12,12,17.0,0
1094,,Natural,Climatological,Wildfire,1,28,8,8,0,200.0
1095,,Technological,Technological,Transport accident,17.0,17.0,11,11,12.0,0
1096,,Technological,Technological,Transport accident,1.0,1.0,1,1,11.0,14.0
1097,"Inter-island ferry ""Citra Mandala Bakti""",Technological,Technological,Transport accident,31.0,31.0,1,1,36.0,0
1098,Cargo,Technological,Technological,Transport accident,6.0,6.0,4,4,29.0,0
1099,Ferry,Technological,Technological,Transport accident,18.0,18.0,4,4,10.0,0
1100,Ferry,Technological,Technological,Transport accident,21.0,22.0,6,6,35.0,0
1101,"Ferry ""Trista I""",Technological,Technological,Transport accident,29.0,29.0,12,12,50.0,0
1102,"Ferry ""Senopati Nusantara""",Technological,Technological,Transport accident,30.0,31.0,12,12,400.0,0
1103,,Technological,Technological,Transport accident,15.0,15.0,4,4,13.0,26.0
1104,,Technological,Technological,Industrial accident,22.0,22.0,11,11,12.0,11.0
1105,,Technological,Technological,Industrial accident,29.0,29.0,5,5,13.0,0
1106,Gold mine,Technological,Technological,Industrial accident,6.0,6.0,5,5,11.0,0
1107,,Technological,Technological,Miscellaneous accident,8.0,8.0,9,9,23.0,0
1108,,Natural,Meteorological,Storm,14.0,15.0,2,2,2.0,0
1109,,Natural,Hydrological,Landslide,12.0,14.0,1,1,32.0,0
1110,,Technological,Technological,Transport accident,6.0,6.0,1,1,41.0,14.0
1111,,Natural,Hydrological,Flood,31.0,22.0,1,2,68.0,1.0
1112,,Natural,Hydrological,Landslide,9.0,9.0,1,1,11.0,0
1113,Boeing,Technological,Technological,Transport accident,1.0,1.0,1,1,102.0,0
1114,,Technological,Technological,Transport accident,1.0,1.0,1,1,15.0,0
1115,,Technological,Technological,Transport accident,16.0,16.0,1,1,5.0,100.0
1116,,Natural,Biological,Epidemic,1,28,2,2,22.0,0
1117,,Natural,Hydrological,Flood,5.0,29.0,12,12,4.0,0
