health_key,death_by_communicable_diseases_maternal_prenatal_and_nutrition_conditions_percent,death_by_non_communicable_diseases_percent,people_using_at_least_basic_drinking_water_services_percent,people_using_safely_managed_drinking_water_services,hospital_beds,community_health_workers,nurses_and_midwives,physicians,specialist_surgical_workforce,incidence_of_malaria,intermittent_preventive_treatment_of_malaria_in_pregnancy,use_of_insecticide_treated_bed_nets,children_with_fever_receiving_antimalarial_drugs,malaria_cases_reported,people_practicing_open_defecation_rural,people_practicing_open_defecation_urban,people_practicing_open_defecation,people_using_safely_managed_sanitation_services,mortality_rate_attributed_to_unsafe_water_unsafe_sanitation_and_lack_of_hygiene,current_health_expenditure,current_health_expenditure_per_capita,domestic_general_government_health_expenditure,domestic_general_government_health_expenditure_per_capita,external_health_expenditure_per_capita
1000,5.2749310952231125,12.086920138311157,95.59186057,55.15126174,0.3,0.147,0.2839,0.3084,0.55375,6.05340586521771,0.0,0.0,0.35,48121,14.84128002,3.570728429,11.81975742,23.07214054,0.74375,2.41363597,11.60705376,22.1964798,22.1964798,9.5910635
1001,5.2749310952231125,12.086920138311157,95.76021655,55.11252136,0.19125,0.0635,0.2841,0.3167,0.55375,4.52322386628696,0.0,0.0,0.35,32857,13.726466,3.29227913,10.85529088,24.14787637,0.74375,2.48439622,12.33577824,23.08750534,23.08750534,8.26798153
1002,5.2749310952231125,12.086920138311157,95.92502197,55.07018233,0.19125,0.0635,0.1625,0.3293,0.55375,4.89136032647314,0.0,0.0,0.35,59866,12.61165197,3.013829831,9.901515171,25.22124717,0.74375,2.55897784,14.31881523,22.87058258,22.87058258,8.19128704
1003,5.2749310952231125,12.086920138311157,96.0861324,55.02438402,0.19125,0.0635,0.1623,0.342,0.55375,7.80358959707856,0.0,0.0,0.35,84690,11.49683795,2.735380531,8.958818692,26.29209359,0.74375,2.48848343,15.80424309,21.33563423,21.33563423,8.51236057
1004,5.2749310952231125,12.086920138311157,96.24343833,54.97528262,0.19125,0.0635,0.1714,0.3544,0.55375,8.17222472228629,0.0,0.0,0.35,102543,10.38202393,2.456931232,8.027558194,27.35956418,0.74375,2.56097794,17.92318726,20.35685921,20.35685921,9.59041405
1005,32.9783972251383,59.4311989454775,96.39688709,54.92247685,0.19125,0.0635,0.183,0.3635,0.55375,4.33407805146848,0.0,0.0,0.35,55873,9.267209903,2.178481932,7.107841592,28.42291983,0.74375,2.68101048,20.80270004,21.02813721,21.02813721,9.18575096
1006,5.2749310952231125,12.086920138311157,96.54632933,54.86629665,0.6,0.393,0.1932,0.3839,0.55375,3.94723160167726,0.0,0.0,0.6,51773,8.152395879,1.900032633,6.200095368,29.48124444,0.74375,2.76118398,22.84561729,20.92262268,20.92262268,8.82406044
1007,5.2749310952231125,12.086920138311157,96.69158904,55.20873295,0.19125,0.476,0.2067,0.4001,0.55375,2.20157095116216,0.0,0.0,0.35,29518,7.037581855,1.621583334,5.30484137,30.533663,0.74375,2.74823475,23.45907974,20.47002983,20.47002983,9.36032486
1008,5.2749310952231125,12.086920138311157,96.83255493,55.56673972,0.19125,0.0635,0.21,0.4218,2.93,1.54427574192173,0.0,0.0,0.35,21454,5.922767832,1.343134034,4.422388071,31.57950162,0.74375,2.65446854,26.67387962,19.73048019,19.73048019,9.33268929
1009,5.2749310952231125,12.086920138311157,96.96925348,55.9399014,0.6,0.0635,0.256,0.4887,3.02,3.2983569426378,0.0,0.0,5,47101,4.807953808,1.064684735,3.552648541,32.6181748,0.74375,2.65588379,29.74625206,19.03475761,19.03475761,8.57872295
1010,28.8076630750759,63.7038514843619,97.10160247,56.32891798,0.77,0.0635,0.275,0.4858,0.55375,2.71747718507741,0.0,0.0,0.35,39600,3.693139785,0.786235435,2.695839017,33.64912089,0.74375,2.63947296,32.84908676,17.63069725,17.63069725,8.0263319
1011,5.2749310952231125,12.086920138311157,97.22961308,56.73353706,0.79,0.0635,0.2639,0.4974,0.55375,1.86393421516696,0.0,0.0,0.35,27461,2.578325761,0.507786136,1.851918354,34.67175069,11.9,2.47291207,34.56891251,16.42222595,16.42222595,7.82036495
