qol_key,unemployment_female,unemployment_male,unemployment_total,people_basic_handwashing_facilities,people_basic_handwashing_facilities_rural,people_basic_handwashing_facilities_urban,people_using_at_least_basic_sanitation_services,people_using_at_least_basic_sanitation_services_rural,people_using_at_least_basic_sanitation_services_urban,people_using_at_least_basic_drinking_water_services,people_using_at_least_basic_drinking_water_services_rural,people_using_at_least_basic_drinking_water_services_urban
5000,6.59899997711182,3.1949999332428,4.11899995803833,31.43384069,23.04450233,49.26692431,42.1145323,39.00338912,,96.69158904,96.11044423,97.926927
5001,7.58799982070923,3.2260000705719,4.42999982833862,34.90063361,26.89396136,51.33286319,43.65543619,40.92201562,,96.83255493,96.33115251,97.86159904
5002,7.48199987411499,3.17400002479553,4.38399982452393,38.34090253,30.74342039,53.39880206,45.18826042,42.86451471,,96.96925348,96.55200819,97.7962166
5003,7.41800022125244,3.14599990844727,4.36600017547607,41.75359784,34.59287942,55.46474094,46.71185422,44.83088639,,97.10160247,96.77301128,97.73077968
5004,7.35699987411499,3.11800003051758,4.34999990463257,45.13910117,38.44233845,57.53067982,48.22553857,46.82113066,,97.22961308,96.99416177,97.66528829
5005,6.71000003814697,3.33500003814697,4.36999988555908,48.49695897,42.29179748,59.5966187,49.72841199,48.83524753,,97.35325339,97.21545966,97.59974242
5006,6.74399995803833,3.37599992752075,4.41300010681152,51.82701989,46.14125652,61.66255758,51.21970677,50.87323698,,97.47252486,97.43690496,97.53414208
5007,6.75500011444092,3.40300011634827,4.43800020217896,55.12933108,49.99071555,63.72849645,52.69870337,52.93509903,,97.58742193,97.65849766,97.46848726
5008,8,4.29199981689453,5.41300010681152,58.40395427,53.84017458,65.79443533,54.16469553,55.02083367,,97.69796025,97.88023776,97.40277797
5009,7.05000019073486,3.35899996757507,4.25,19.9605258,11.49612523,43.06910767,31.19445716,26.24143622,,95.59186057,94.56961357,98.38269746
5010,5.54500007629395,3.125,3.77099990844727,27.93989766,19.19504329,47.20098543,40.56613749,37.10863522,,96.54632933,95.88988335,97.99220049
5011,4.43900012969971,3.00399994850159,3.38000011444092,24.42005025,15.34558426,45.13504655,39.0115438,35.2377539,,96.39688709,95.66946988,98.05741951
5012,7.36600017547607,4.18100023269653,5,20.87614236,11.49612523,43.06910767,37.45237978,33.39074518,,96.24343833,95.44920381,98.12258405
5013,7.10400009155273,3.71099996566772,4.56699991226196,20.64218633,11.49612523,43.06910767,35.89006951,31.56760905,,96.0861324,95.22908514,98.18769411
5014,6.84800004959106,3.23200011253357,4.1269998550415,20.41138896,11.49612523,43.06910767,34.32547217,29.76834551,,95.92502197,95.00911388,98.2527497
5015,6.46400022506714,2.67000007629395,3.58999991416931,20.18406256,11.49612523,43.06910767,32.75983902,27.99295457,,95.76021655,94.78929002,98.31775082
5016,6.81699991226196,7.71600008010864,7.28999996185303,100,100,100,99.42171918,99.07866496,,99.23432608,98.63296946,99.37412975
5017,6.59700012207031,7.49700021743774,7.07000017166138,100,100,100,99.36619078,99.04622241,,99.23268617,98.69404467,99.35757945
5018,6.38899993896484,7.37799978256226,6.90999984741211,100,100,100,99.31064352,99.01377986,,99.23098502,98.75511987,99.34102915
5019,6.29199981689453,7.46199989318848,6.90999984741211,100,100,100,99.25507123,98.98133731,,99.22922139,98.81619508,99.32447885
5020,6.24100017547607,7.68100023269653,7,100,100,100,99.19947682,98.94889476,,99.22739547,98.87727028,99.30792856
