Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Bangladesh,BGD,550,570,610,660,730,800,890,970,1040,1110,1220,1370,1520,1750,1930,2030
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Chad,TCD,470,530,630,700,830,910,890,960,970,980,880,730,640,680,700,630
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Canada,CAN,34810,38510,43090,45650,43230,44490,47190,51080,52800,52200,47590,43890,42900,45080,46550,43580
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,United States,USA,46180,47850,48520,49090,47830,49140,50630,52780,53980,55800,56640,57130,59240,63490,65970,64530
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Philippines,PHL,1380,1490,1720,2010,2170,2370,2520,2860,3160,3330,3380,3450,3530,3710,3850,3430
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Indonesia,IDN,1220,1380,1600,1940,2150,2530,3010,3580,3730,3620,3430,3400,3530,3840,4050,3870
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Togo,TGO,400,410,420,470,530,560,610,590,620,640,640,670,720,880,920,920
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Mexico,MEX,8050,8690,9250,9780,8820,9040,9310,10050,10270,10500,10160,9390,8920,9180,9470,8480
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Guinea,GIN,360,400,470,620,670,690,680,700,700,740,760,780,820,860,950,1020
Population growth (annual %),SP.POP.GROW,Bangladesh,BGD,1.48474696408995,1.34712103146787,1.22663050489361,1.14564743804678,1.11680643452794,1.1248068966134,1.14382867124819,1.15400610453827,1.15595091365323,1.1429302161114,1.11909103277687,1.09528840382819,1.07553524898766,1.05357030023873,1.02919664944804,1.00277418143487
