Dis No,Year,Disaster Group,Disaster Subgroup,Disaster Type,Event Name,Country,ISO,Region,Location,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured
2005-0160-IDN,2005,Natural,Geophysical,Earthquake,,Indonesia,IDN,South-Eastern Asia,"Simeulue, Aceh Singkil districts (Nangroe Aceh Darussalam province) Nias, Nias Selatan districts (Sumatera Utara province)",2005,3,28,2005,3,28,915,1146
2005-0130-BGD,2005,Natural,Meteorological,Storm,,Bangladesh,BGD,Southern Asia,"Gaibandha, Rangpur districts (Rangpur province), Chandpur district (Chittagong province), Habiganj district (Sylhet province), Faridpur, Kishoreganj, Manikganj, Munshiganj districts (Dhaka province)",2005,3,20,2005,3,23,79,1500
2005-0088-BGD,2005,Technological,Technological,Transport accident,,Bangladesh,BGD,Southern Asia,"Buriganga river, near Dacca",2005,2,19,2005,2,19,149,
2005-0076-BGD,2005,Technological,Technological,Transport accident,"Inter city express train ""Meghna""",Bangladesh,BGD,Southern Asia,Konsaigh village,2005,1,16,2005,1,16,,200
2005-0157-BGD,2005,Technological,Technological,Industrial accident,Garment Factory,Bangladesh,BGD,Southern Asia,Narayangaj (Dhaka),2005,1,6,2005,1,6,22,50
2005-0031-IDN,2005,Natural,Geophysical,Earthquake,,Indonesia,IDN,South-Eastern Asia,Kota Palu district (Sulawesi Tengah province),2005,1,23,2005,1,23,1,4
2005-0089-IDN,2005,Natural,Hydrological,Landslide,,Indonesia,IDN,South-Eastern Asia,Bandung district (Jawa Barat province),2005,2,21,2005,2,21,143,
2005-0091-IDN,2005,Technological,Technological,Transport accident,Casa 212,Indonesia,IDN,South-Eastern Asia,Sarmi district,2005,3,22,2005,3,22,15,3
2005-0111-IDN,2005,Technological,Technological,Transport accident,,Indonesia,IDN,South-Eastern Asia,Kuala Kampar (Sumatra Isl.),2005,3,13,2005,3,13,33,
2005-0103-USA,2005,Natural,Hydrological,Flood,,United States of America (the),USA,Northern America,Los Angeles district (California province),2005,2,17,2005,2,23,9,
2005-0015-USA,2005,Natural,Hydrological,Flood,,United States of America (the),USA,Northern America,"La Conchita area (Ventura district, California province), Malibu area (Los Angeles district, California province), Sacramento district (California province), Arizona, Ohio provinces",2005,1,7,2005,1,11,28,8
