Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Africa Eastern and Southern,AFE,39.3744865570595,39.0949663872957,38.7900640436348,38.4537080478074,38.082601108182,37.6770056265627,37.2375573920502,36.7703817223938,36.2848977616519,35.7916936767915,35.2997529119494,34.8207677118531,34.3577466585061,33.9130337240831,33.4912691346873,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Africa Western and Central,AFW,42.0670961698889,41.8103264303877,41.5350946094575,41.2430013355936,40.9332733533447,40.6015078394124,40.2415934350541,39.852581401361,39.435067467067,38.993875039074,38.5357221779267,38.0694807661362,37.6041829377417,37.1484648274377,36.7085358321222,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Arab World,ARB,27.5377110975321,27.4772787470601,27.4607245785768,27.4629959320729,27.4960000122321,27.5134349302764,27.4848792443032,27.3893380000754,27.211517136518,26.9408446681938,26.5769915732765,26.1346579650608,25.647683889047,25.1471006437938,24.6506238242473,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Caribbean small states,CSS,18.6742164291779,18.3902877732859,18.1995377705877,17.9816630724178,17.7684166386154,17.5120687464599,17.3462244942164,17.1386750164885,16.9343698066029,16.6552625047693,16.5269810830362,16.3180644072322,16.0407187777092,15.8867778740861,15.6640902495305,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Central Europe and the Baltics,CEB,9.76067384088354,9.95849846965394,10.2076348610633,10.7450559900911,10.7825508634384,10.5442007818566,9.97322278608419,9.97663319700431,9.63832192953901,9.93466941518681,9.88846999346859,10.1346966663527,10.37061863823,10.1005806475465,9.77716690717954,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Early-demographic dividend,EAR,24.7616758102236,24.3899473893995,24.0223537183203,23.6431805066047,23.2482696666455,22.8441996426812,22.4508016433109,22.078504463938,21.7391455365634,21.4133150433788,21.0969524929688,20.7858881599645,20.4834261942814,20.2039592395521,19.9239507756762,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,East Asia & Pacific,EAS,14.3964507648177,14.1825416036265,14.173913922904,14.1369565484921,14.0576318347699,13.866517063811,13.8348804669943,13.8911690023319,13.7554132544323,13.8545586884265,13.5956355214601,14.0160694999044,13.5804384508057,12.5776631411065,12.2034611755558,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,East Asia & Pacific (excluding high income),EAP,15.0498016654745,14.7804259874568,14.7300904909626,14.7003645976733,14.6370374868875,14.4227323066152,14.3806270918443,14.4249018956994,14.3344684023142,14.4476856368536,14.1573005631481,14.6586700405994,14.216401849661,13.128258488234,12.7518524717892,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,East Asia & Pacific (IDA & IBRD countries),TEA,15.0436948592818,14.7762090143706,14.7302477815155,14.7040386113377,14.6428298260921,14.4276655371115,14.3862495105782,14.4315706635269,14.3400503987035,14.4544729494943,14.1603773754473,14.6678746633881,14.2201178407326,13.1188459215072,12.7382996500746,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Euro area,EMU,10.3030432977957,10.3799827022005,10.3832274839819,10.5541787865296,10.3427158539873,10.3578554515758,10.1638498982809,10.0002664369688,9.7362246666461,9.79310538371912,9.66387313648041,9.70807429293238,9.48032604284304,9.28365197085059,9.10179438508205,..
